,Africa,America,,Asia,,,,,,Europe,,,,Oceania
year,Pretoria,"Washington,DC",Ottawa,Tokyo,Beijing,Seoul,Damascus,Tehran,Dubai,London,Berlin,Paris,Moscow,Sydney
2010,,2200,3365.38,3838.56,-,2478.6,,775,3864.42,2977.05,-,2037.04,768.02,3564.72
2011,3529.41,3365.2,3092.78,3803.82,579.6,2814.59,,826.25,4676.17,3511.43,2826.09,3343.69,1638.66,4472.58
2012,1352.94,3700,3883.5,4023.43,846.18,2291.53,234.99,588.41,3334.84,3179.5,2283.95,2682.3,1383.69,4585.98
2013,1888.67,3981.7,3752.2,3264.22,981.41,2135.12,238.61,476.06,3381.11,3289.44,2395.52,3549.36,1400.28,4417.93
2014,1910,4573.36,3419.12,2700.44,1149.23,2740.91,271.75,537.55,3130.58,3182.76,2477.89,2966.46,1433.95,4450.44
2015,1748.24,3479.05,2596.93,2522.82,1497.14,2582.46,173.57,555.7,3258.09,3042.01,1999.83,2505.63,972.66,3511.05
2016,1296.18,3900.22,2624.36,2845.55,1281.81,2238.74,-,514.35,3332.89,3039.7,2290.62,2653.41,851.27,3439.1
2017,1388.74,4095.37,2741.06,2882.12,1159.14,2569.48,,564.01,3548.31,2882.03,2321.02,2634.71,1044.32,3719.68
